SEMESTER,MJD START,MJD END,PROGRAM,PI
2000B,51758.166666666664,51758.666666666664,2000B999,Engineering
2000B,51759.166666666664,51759.415972222225,2000B066,Weaver
2000B,51759.415972222225,51759.666666666664,2000B028,Goto
2000B,51760.166666666664,51760.415972222225,2000B066,Weaver
2000B,51760.415972222225,51760.666666666664,2000B028,Goto
2000B,51761.166666666664,51761.415972222225,2000B066,Weaver
2000B,51761.415972222225,51761.666666666664,2000B107,Stockton
2000B,51762.166666666664,51762.415972222225,2000B066,Weaver
2000B,51762.415972222225,51762.666666666664,2000B107,Stockton
2000B,51763.166666666664,51763.415972222225,2000B066,Weaver
2000B,51763.415972222225,51763.666666666664,2000B107,Stockton
2000B,51763.833333333336,51763.333333333336,2000B076,Mumma
2000B,51764.333333333336,51764.666666666664,2000B107,Stockton
2000B,51764.833333333336,51764.333333333336,2000B076,Mumma
2000B,51765.333333333336,51765.666666666664,2000B107,Stockton
2000B,51765.833333333336,51765.333333333336,2000B076,Mumma
2000B,51766.333333333336,51766.666666666664,2000B107,Stockton
2000B,51767.166666666664,51767.666666666664,2000B103,Alonso-Herrero
2000B,51768.166666666664,51768.666666666664,2000B103,Alonso-Herrero
2000B,51769.166666666664,51769.666666666664,2000B049,Shupe
2000B,51770.166666666664,51770.666666666664,2000B049,Shupe
2000B,51771.166666666664,51771.666666666664,2000B049,Shupe
2000B,51771.791666666664,51771.083333333336,2000B999,Engineering
2000B,51771.791666666664,51771.083333333336,2000B999,Engineering
2000B,51771.791666666664,51771.083333333336,2000B999,Engineering
2000B,51775.166666666664,51775.666666666664,2000B999,Engineering
2000B,51776.166666666664,51776.666666666664,2000B999,Engineering
2000B,51777.166666666664,51777.666666666664,2000B028,Goto
2000B,51778.166666666664,51778.666666666664,2000B028,Goto
2000B,51779.166666666664,51779.666666666664,2000B041,Sasselov
2000B,51780.166666666664,51780.666666666664,2000B041,Sasselov
2000B,51781.166666666664,51781.666666666664,2000B018,Reid
2000B,51782.166666666664,51782.666666666664,2000B018,Reid
2000B,51783.166666666664,51783.666666666664,2000B018,Reid
2000B,51784.166666666664,51784.666666666664,2000B018,Reid
2000B,51785.166666666664,51785.666666666664,2000B999,Engineering
2000B,51786.166666666664,51786.666666666664,2000B999,Engineering
2000B,51787.166666666664,51787.666666666664,2000B115,Vacca
2000B,51788.166666666664,51788.666666666664,2000B115,Vacca
2000B,51789.166666666664,51789.415972222225,2000B115,Vacca
2000B,51789.415972222225,51789.666666666664,2000B020,Bendo
2000B,51790.166666666664,51790.666666666664,2000B005,Binzel
2000B,51791.166666666664,51791.666666666664,2000B005,Binzel
2000B,51792.166666666664,51792.666666666664,2000B051,Rivkin
2000B,51793.166666666664,51793.666666666664,2000B051,Rivkin
2000B,51794.166666666664,51794.666666666664,2000B051,Rivkin
2000B,51795.166666666664,51795.666666666664,2000B086,Emery
2000B,51796.166666666664,51796.666666666664,2000B086,Emery
2000B,51797.166666666664,51797.666666666664,2000B116,Encrenaz
2000B,51798.166666666664,51798.666666666664,2000B116,Encrenaz
2000B,51799.166666666664,51799.666666666664,2000B070,Froning
2000B,51800.166666666664,51800.666666666664,2000B070,Froning
2000B,51801.166666666664,51801.666666666664,2000B070,Froning
2000B,51802.166666666664,51802.666666666664,2000B118,Joseph
2000B,51803.166666666664,51803.666666666664,2000B118,Joseph
2000B,51804.166666666664,51804.666666666664,2000B118,Joseph
2000B,51805.166666666664,51805.666666666664,2000B118,Joseph
2000B,51806.166666666664,51806.666666666664,2000B118,Joseph
2000B,51807.166666666664,51807.666666666664,2000B999,Engineering
2000B,51808.166666666664,51808.666666666664,2000B999,Engineering
2000B,51809.166666666664,51809.666666666664,2000B014,Bauer
2000B,51810.166666666664,51810.666666666664,2000B069,Tsvetanov
2000B,51811.166666666664,51811.666666666664,2000B069,Tsvetanov
2000B,51812.166666666664,51812.666666666664,2000B069,Tsvetanov
2000B,51813.166666666664,51813.666666666664,2000B069,Tsvetanov
2000B,51814.166666666664,51814.666666666664,2000B052,Turnshek
2000B,51815.166666666664,51815.666666666664,2000B052,Turnshek
2000B,51816.166666666664,51816.666666666664,2000B052,Turnshek
2000B,51817.166666666664,51817.666666666664,2000B052,Turnshek
2000B,51818.166666666664,51818.666666666664,2000B058,Marion
2000B,51819.166666666664,51819.666666666664,2000B058,Marion
2000B,51820.166666666664,51820.666666666664,2000B999,Engineering
2000B,51821.166666666664,51821.415972222225,2000B035,Ressler
2000B,51821.415972222225,51821.666666666664,2000B009,Orton
2000B,51822.166666666664,51822.415972222225,2000B035,Ressler
2000B,51822.415972222225,51822.666666666664,2000B009,Orton
2000B,51823.166666666664,51823.415972222225,2000B079,Bosh
2000B,51823.415972222225,51823.666666666664,2000B023,Poulet
2000B,51824.166666666664,51824.415972222225,2000B079,Bosh
2000B,51824.415972222225,51824.666666666664,2000B023,Poulet
2000B,51825.166666666664,51825.415972222225,2000B079,Bosh
2000B,51825.415972222225,51825.666666666664,2000B005,Binzel
2000B,51826.166666666664,51826.666666666664,2000B005,Binzel
2000B,51827.166666666664,51827.5,2000B005,Binzel
2000B,51827.5,51827.666666666664,2000B008,Beck
2000B,51828.166666666664,51828.666666666664,2000B037,Rodriguez
2000B,51829.166666666664,51829.666666666664,2000B090,Goguen
2000B,51830.166666666664,51830.666666666664,2000B037,Rodriguez
2000B,51831.208333333336,51831.708333333336,2000B001,Drossart
2000B,51832.208333333336,51832.708333333336,2000B001,Drossart
2000B,51833.208333333336,51833.708333333336,2000B063,Yanamandra-Fisher
2000B,51834.208333333336,51834.708333333336,2000B063,Yanamandra-Fisher
2000B,51835.166666666664,51835.666666666664,2000B083,Deming
2000B,51836.166666666664,51836.666666666664,2000B053,Spencer
2000B,51837.166666666664,51837.415972222225,2000B117,Vacca
2000B,51837.415972222225,51837.666666666664,2000B003,Griffith
2000B,51838.208333333336,51838.458333333336,2000B053,Spencer
2000B,51838.458333333336,51838.708333333336,2000B003,Griffith
2000B,51839.166666666664,51839.415972222225,2000B117,Vacca
2000B,51839.415972222225,51839.666666666664,2000B003,Griffith
2000B,51840.166666666664,51840.666666666664,2000B117,Vacca
2000B,51841.166666666664,51841.666666666664,2000B117,Vacca
2000B,51842.166666666664,51842.666666666664,2000B117,Vacca
2000B,51843.166666666664,51843.415972222225,2000B027,Rayner
2000B,51843.415972222225,51843.666666666664,2000B003,Griffith
2000B,51844.166666666664,51844.666666666664,2000B083,Deming
2000B,51845.166666666664,51845.666666666664,2000B999,Engineering
2000B,51846.166666666664,51846.666666666664,2000B040,Trafton
2000B,51847.166666666664,51847.666666666664,2000B040,Trafton
2000B,51848.166666666664,51848.666666666664,2000B087,Evans
2000B,51849.166666666664,51849.666666666664,2000B087,Evans
2000B,51850.166666666664,51850.666666666664,2000B087,Evans
2000B,51851.166666666664,51851.666666666664,2000B014,Bauer
2000B,51852.166666666664,51852.415972222225,2000B027,Rayner
2000B,51852.415972222225,51852.666666666664,2000B003,Griffith
2000B,51853.166666666664,51853.666666666664,2000B027,Rayner
2000B,51854.166666666664,51854.666666666664,2000B027,Rayner
2000B,51855.166666666664,51855.666666666664,2000B080,Brooke
2000B,51856.166666666664,51856.666666666664,2000B080,Brooke
2000B,51857.166666666664,51857.666666666664,2000B080,Brooke
2000B,51858.166666666664,51858.5,2000B080,Brooke
2000B,51858.5,51858.666666666664,2000B008,Beck
2000B,51859.166666666664,51859.666666666664,2000B098,Wilking
2000B,51860.166666666664,51860.666666666664,2000B098,Wilking
2000B,51861.166666666664,51861.666666666664,2000B098,Wilking
2000B,51862.166666666664,51862.666666666664,2000B098,Wilking
2000B,51863.166666666664,51863.666666666664,2000B104,Greene
2000B,51864.166666666664,51864.666666666664,2000B104,Greene
2000B,51865.166666666664,51865.666666666664,2000B104,Greene
2000B,51866.166666666664,51866.666666666664,2000B048,Prato
2000B,51867.166666666664,51867.666666666664,2000B048,Prato
2000B,51868.166666666664,51868.666666666664,2000B048,Prato
2000B,51869.166666666664,51869.666666666664,2000B023,Poulet
2000B,51870.166666666664,51870.666666666664,2000B023,Poulet
2000B,51871.166666666664,51871.666666666664,2000B113,Becklin
2000B,51872.166666666664,51872.666666666664,2000B113,Becklin
2000B,51873.166666666664,51873.666666666664,2000B113,Becklin
2000B,51874.166666666664,51874.666666666664,2000B113,Becklin
2000B,51875.166666666664,51875.666666666664,2000B999,Engineering
2000B,51876.166666666664,51876.666666666664,2000B046,Lacy
2000B,51877.166666666664,51877.666666666664,2000B084,Dinerstein
2000B,51878.166666666664,51878.666666666664,2000B084,Dinerstein
2000B,51879.166666666664,51879.666666666664,2000B057,Richter
2000B,51880.166666666664,51880.666666666664,2000B057,Richter
2000B,51881.166666666664,51881.666666666664,2000B029,Bezard
2000B,51882.166666666664,51882.666666666664,2000B029,Bezard
2000B,51883.166666666664,51883.666666666664,2000B999,Engineering
2000B,51884.25,51884.833333333336,2000B013,Kostiuk
2000B,51885.25,51885.833333333336,2000B013,Kostiuk
2000B,51886.25,51886.833333333336,2000B013,Kostiuk
2000B,51887.166666666664,51887.415972222225,2000B119,Goguen
2000B,51887.415972222225,51887.666666666664,2000B999,Engineering
2000B,51888.166666666664,51888.415972222225,2000B119,Goguen
2000B,51888.415972222225,51888.666666666664,2000B999,Engineering
2000B,51889.166666666664,51889.415972222225,2000B119,Goguen
2000B,51889.415972222225,51889.666666666664,2000B999,Engineering
2000B,51890.166666666664,51890.415972222225,2000B119,Goguen
2000B,51890.415972222225,51890.583333333336,2000B008,Beck
2000B,51891.166666666664,51891.395833333336,2000B119,Goguen
2000B,51891.395833333336,51891.625,2000B054,Spencer
2000B,51892.083333333336,51892.583333333336,2000B038,Harrington
2000B,51893.083333333336,51893.583333333336,2000B038,Harrington
2000B,51894.166666666664,51894.666666666664,2000B006,Connerney
2000B,51895.166666666664,51895.666666666664,2000B050,Osip
2000B,51896.166666666664,51896.666666666664,2000B006,Connerney
2000B,51897.166666666664,51897.666666666664,2000B006,Connerney
2000B,51898.083333333336,51898.583333333336,2000B038,Harrington
2000B,51899.083333333336,51899.583333333336,2000B038,Harrington
2000B,51900.083333333336,51900.583333333336,2000B096,Bjoraker
2000B,51901.083333333336,51901.583333333336,2000B096,Bjoraker
2000B,51902.083333333336,51902.25,2000B054,Spencer
2000B,51902.25,51902.666666666664,2000B028,Goto
2000B,51905.25,51905.75,2000B062,Lisse
