SEMESTER,UT DAY,UT START TIME,UT END TIME,MJD START TIME,MJD END TIME,PROGRAM,OBSERVER
2000B,08-01,04:00:00.000,16:00:00.000,51757.166666666664,51757.666666666664,999,Engineering
2000B,08-02,04:00:00.000,09:59:00.000,51758.166666666664,51758.415972222225,066,Weaver
2000B,08-02,09:59:00.000,16:00:00.000,51758.415972222225,51758.666666666664,028,Goto
2000B,08-03,04:00:00.000,09:59:00.000,51759.166666666664,51759.415972222225,066,Weaver
2000B,08-03,09:59:00.000,16:00:00.000,51759.415972222225,51759.666666666664,028,Goto
2000B,08-04,04:00:00.000,09:59:00.000,51760.166666666664,51760.415972222225,066,Weaver
2000B,08-04,09:59:00.000,16:00:00.000,51760.415972222225,51760.666666666664,107,Stockton
2000B,08-05,04:00:00.000,09:59:00.000,51761.166666666664,51761.415972222225,066,Weaver
2000B,08-05,09:59:00.000,16:00:00.000,51761.415972222225,51761.666666666664,107,Stockton
2000B,08-06,04:00:00.000,09:59:00.000,51762.166666666664,51762.415972222225,066,Weaver
2000B,08-06,09:59:00.000,16:00:00.000,51762.415972222225,51762.666666666664,107,Stockton
2000B,08-07,08:00:00.000,16:00:00.000,51763.333333333336,51763.666666666664,107,Stockton
2000B,08-07,20:00:00.000,08:00:00.000,51763.833333333336,51763.333333333336,076,Mumma
2000B,08-08,08:00:00.000,16:00:00.000,51764.333333333336,51764.666666666664,107,Stockton
2000B,08-08,20:00:00.000,08:00:00.000,51764.833333333336,51764.333333333336,076,Mumma
2000B,08-09,08:00:00.000,16:00:00.000,51765.333333333336,51765.666666666664,107,Stockton
2000B,08-09,20:00:00.000,08:00:00.000,51765.833333333336,51765.333333333336,076,Mumma
2000B,08-10,04:00:00.000,16:00:00.000,51766.166666666664,51766.666666666664,103,Alonso-Herrero
2000B,08-11,04:00:00.000,16:00:00.000,51767.166666666664,51767.666666666664,103,Alonso-Herrero
2000B,08-12,04:00:00.000,16:00:00.000,51768.166666666664,51768.666666666664,049,Shupe
2000B,08-13,04:00:00.000,16:00:00.000,51769.166666666664,51769.666666666664,049,Shupe
2000B,08-14,04:00:00.000,16:00:00.000,51770.166666666664,51770.666666666664,049,Shupe
2000B,08-15,19:00:00.000,02:00:00.000,51771.791666666664,51771.083333333336,999,Engineering
2000B,08-16,19:00:00.000,02:00:00.000,51772.791666666664,51772.083333333336,999,Engineering
2000B,08-17,19:00:00.000,02:00:00.000,51773.791666666664,51773.083333333336,999,Engineering
2000B,08-18,04:00:00.000,16:00:00.000,51774.166666666664,51774.666666666664,999,Engineering
2000B,08-19,04:00:00.000,16:00:00.000,51775.166666666664,51775.666666666664,999,Engineering
2000B,08-20,04:00:00.000,16:00:00.000,51776.166666666664,51776.666666666664,028,Goto
2000B,08-21,04:00:00.000,16:00:00.000,51777.166666666664,51777.666666666664,028,Goto
2000B,08-22,04:00:00.000,16:00:00.000,51778.166666666664,51778.666666666664,041,Sasselov
