SEMESTER,MJD START,MJD END,PI,PROGRAM
2000B,51757.16667,51757.66667,Engineering,2000B999
2000B,51758.16667,51758.41597,Weaver,2000B066
2000B,51758.41597,51758.66667,Goto,2000B028
2000B,51759.16667,51759.41597,Weaver,2000B066
2000B,51759.41597,51759.66667,Goto,2000B028
2000B,51760.16667,51760.41597,Weaver,2000B066
2000B,51760.41597,51760.66667,Stockton,2000B107
2000B,51761.16667,51761.41597,Weaver,2000B066
2000B,51761.41597,51761.66667,Stockton,2000B107
2000B,51762.16667,51762.41597,Weaver,2000B066
2000B,51762.41597,51762.66667,Stockton,2000B107
2000B,51763.33333,51763.66667,Stockton,2000B107
2000B,51763.83333,51763.33333,Mumma,2000B076
2000B,51764.33333,51764.66667,Stockton,2000B107
2000B,51764.83333,51764.33333,Mumma,2000B076
2000B,51765.33333,51765.66667,Stockton,2000B107
2000B,51765.83333,51765.33333,Mumma,2000B076
2000B,51766.16667,51766.66667,Alonso-Herrero,2000B103
2000B,51767.16667,51767.66667,Alonso-Herrero,2000B103
2000B,51768.16667,51768.66667,Shupe,2000B049
2000B,51769.16667,51769.66667,Shupe,2000B049
2000B,51770.16667,51770.66667,Shupe,2000B049
2000B,51771.79167,51771.08333,Engineering,2000B999
2000B,51772.79167,51772.08333,Engineering,2000B999
2000B,51773.79167,51773.08333,Engineering,2000B999
2000B,51774.16667,51774.66667,Engineering,2000B999
2000B,51775.16667,51775.66667,Engineering,2000B999
2000B,51776.16667,51776.66667,Goto,2000B028
2000B,51777.16667,51777.66667,Goto,2000B028
2000B,51778.16667,51778.66667,Sasselov,2000B041
2000B,51779.16667,51779.66667,Sasselov,2000B041
2000B,51780.16667,51780.66667,Reid,2000B018
2000B,51781.16667,51781.66667,Reid,2000B018
2000B,51782.16667,51782.66667,Reid,2000B018
2000B,51783.16667,51783.66667,Reid,2000B018
2000B,51784.16667,51784.66667,Engineering,2000B999
2000B,51785.16667,51785.66667,Engineering,2000B999
2000B,51786.16667,51786.66667,Vacca,2000B115
2000B,51787.16667,51787.66667,Vacca,2000B115
2000B,51788.16667,51788.41597,Vacca,2000B115
2000B,51788.41597,51788.66667,Bendo,2000B020
2000B,51789.16667,51789.66667,Binzel,2000B005
2000B,51790.16667,51790.66667,Binzel,2000B005
2000B,51791.16667,51791.66667,Rivkin,2000B051
2000B,51792.16667,51792.66667,Rivkin,2000B051
2000B,51793.16667,51793.66667,Rivkin,2000B051
2000B,51794.16667,51794.66667,Emery,2000B086
2000B,51795.16667,51795.66667,Emery,2000B086
2000B,51796.16667,51796.66667,Encrenaz,2000B116
2000B,51797.16667,51797.66667,Encrenaz,2000B116
2000B,51798.16667,51798.66667,Froning,2000B070
2000B,51799.16667,51799.66667,Froning,2000B070
2000B,51800.16667,51800.66667,Froning,2000B070
2000B,51801.16667,51801.66667,Joseph,2000B118
2000B,51802.16667,51802.66667,Joseph,2000B118
2000B,51803.16667,51803.66667,Joseph,2000B118
2000B,51804.16667,51804.66667,Joseph,2000B118
2000B,51805.16667,51805.66667,Joseph,2000B118
2000B,51806.16667,51806.66667,Engineering,2000B999
2000B,51807.16667,51807.66667,Engineering,2000B999
2000B,51808.16667,51808.66667,Bauer,2000B014
2000B,51809.16667,51809.66667,Tsvetanov,2000B069
2000B,51810.16667,51810.66667,Tsvetanov,2000B069
2000B,51811.16667,51811.66667,Tsvetanov,2000B069
2000B,51812.16667,51812.66667,Tsvetanov,2000B069
2000B,51813.16667,51813.66667,Turnshek,2000B052
2000B,51814.16667,51814.66667,Turnshek,2000B052
2000B,51815.16667,51815.66667,Turnshek,2000B052
2000B,51816.16667,51816.66667,Turnshek,2000B052
2000B,51817.16667,51817.66667,Marion,2000B058
2000B,51818.16667,51818.66667,Marion,2000B058
2000B,51819.16667,51819.66667,Engineering,2000B999
2000B,51820.16667,51820.41597,Ressler,2000B035
2000B,51820.41597,51820.66667,Orton,2000B009
2000B,51821.16667,51821.41597,Ressler,2000B035
2000B,51821.41597,51821.66667,Orton,2000B009
2000B,51822.16667,51822.41597,Bosh,2000B079
2000B,51822.41597,51822.66667,Poulet,2000B023
2000B,51823.16667,51823.41597,Bosh,2000B079
2000B,51823.41597,51823.66667,Poulet,2000B023
2000B,51824.16667,51824.41597,Bosh,2000B079
2000B,51824.41597,51824.66667,Binzel,2000B005
2000B,51825.16667,51825.66667,Binzel,2000B005
2000B,51826.16667,51826.5,Binzel,2000B005
2000B,51827.16667,51827.66667,Rodriguez,2000B037
2000B,51827.5,51827.66667,Beck,2000B008
2000B,51828.16667,51828.66667,Goguen,2000B090
2000B,51829.16667,51829.66667,Rodriguez,2000B037
2000B,51830.20833,51830.70833,Drossart,2000B001
2000B,51831.20833,51831.70833,Drossart,2000B001
2000B,51832.20833,51832.70833,Yanamandra-Fisher,2000B063
2000B,51833.20833,51833.70833,Yanamandra-Fisher,2000B063
