#
# Generated by M. Cushing, Mon Oct 21 14:24:46 2024
#
# Line list for the ShortXD mode of 3-8.
#
#=======================================================================================================
#Order   | Vacuum Wavelength   | Species   | Left Window   | Right Window   | Fit Type   | Fit N Terms
#        | (microns)           |           | (Angstroms)   | (Angstroms)    |            |            
#=======================================================================================================
   3     |  1.98229091         |    Ar     |  50.0         |  50.0          | G          | 5          
   3     |  1.99711802         |    Ar     |  50.0         |  50.0          | G          | 5          
   3     |  2.03225535         |    Ar     |  50.0         |  50.0          | G          | 5          
   3     |  2.08167131         |    Ar     |  50.0         |  50.0          | G          | 5          
   3     |  2.09918387         |    Ar     |  50.0         |  50.0          | G          | 5          
   3     |  2.13387089         |    Ar     |  50.0         |  50.0          | G          | 5          
   3     |  2.15400839         |    Ar     |  50.0         |  50.0          | G          | 5          
   3     |  2.20455774         |    Ar     |  50.0         |  20.0          | G          | 5          
   3     |  2.20832076         |    Ar     |  20.0         |  50.0          | G          | 5          
   3     |  2.31395178         |    Ar     |  50.0         |  50.0          | G          | 5          
   3     |  2.38515370         |    Ar     |  50.0         |  50.0          | G          | 5          
   3     |  2.39730588         |    Ar     |  50.0         |  50.0          | G          | 5          
   4     |  1.40974940         |    Ar     |  50.0         |  50.0          | G          | 5          
   4     |  1.47431673         |    Ar     |  30.0         |  30.0          | G          | 5          
   4     |  1.50506179         |    Ar     |  50.0         |  50.0          | G          | 5          
   4     |  1.51768355         |    Ar     |  50.0         |  50.0          | G          | 5          
   4     |  1.53335353         |    Ar     |  15.0         |  15.0          | G          | 5          
   4     |  1.54068529         |    Ar     |  35.0         |  50.0          | G          | 5          
   4     |  1.58210956         |    Ar     |  50.0         |  50.0          | G          | 5          
   4     |  1.59938589         |    Ar     |  50.0         |  50.0          | G          | 5          
   4     |  1.61270630         |    Ar     |  50.0         |  40.0          | G          | 5          
   4     |  1.61844406         |    Ar     |  40.0         |  50.0          | G          | 5          
   4     |  1.65243783         |    Ar     |  50.0         |  20.0          | G          | 5          
   4     |  1.67446481         |    Ar     |  50.0         |  50.0          | G          | 5          
   4     |  1.69452121         |    Ar     |  50.0         |  50.0          | G          | 5          
   4     |  1.79195214         |    Ar     |  50.0         |  50.0          | G          | 5          
   5     |  1.13968207         |    Ar     |  50.0         |  35.0          | G          | 5          
   5     |  1.14449647         |    Ar     |  35.0         |  20.0          | G          | 5          
   5     |  1.14706850         |    Ar     |  15.0         |  10.0          | G          | 5          
   5     |  1.14912540         |    Ar     |  35.0         |  50.0          | G          | 5          
   5     |  1.16719043         |    Ar     |  50.0         |  40.0          | G          | 5          
   5     |  1.17226969         |    Ar     |  40.0         |  10.0          | G          | 5          
   5     |  1.20299409         |    Ar     |  50.0         |  50.0          | G          | 5          
   5     |  1.21156411         |    Ar     |  50.0         |  20.0          | G          | 5          
   5     |  1.24062215         |    Ar     |  35.0         |  20.0          | G          | 5          
   5     |  1.24910794         |    Ar     |  20.0         |  50.0          | G          | 5          
   5     |  1.25577626         |    Ar     |  30.0         |  30.0          | G          | 5          
   5     |  1.26250717         |    Ar     |  15.0         |  15.0          | G          | 5          
   5     |  1.26419390         |    Ar     |  10.0         |  30.0          | G          | 5          
   5     |  1.28062419         |    Ar     |  40.0         |  50.0          | G          | 5          
   5     |  1.29367322         |    Ar     |  50.0         |  10.0          | G          | 5          
   5     |  1.29602040         |    Ar     |  10.0         |  40.0          | G          | 5          
   5     |  1.30118219         |    Ar     |  35.0         |  50.0          | G          | 5          
   5     |  1.30319892         |    Ar     |  10.0         |  50.0          | G          | 5          
   5     |  1.32762661         |    Ar     |  30.0         |  30.0          | G          | 5          
   5     |  1.33707674         |    Ar     |  40.0         |  30.0          | G          | 5          
   5     |  1.35479052         |    Ar     |  20.0         |  20.0          | G          | 5          
   5     |  1.35773281         |    Ar     |  20.0         |  20.0          | G          | 5          
   5     |  1.36030526         |    Ar     |  15.0         |  15.0          | G          | 5          
   5     |  1.36263846         |    Ar     |  15.0         |  40.0          | G          | 5          
   5     |  1.36822906         |    Ar     |  40.0         |  25.0          | G          | 5          
   5     |  1.37223278         |    Ar     |  30.0         |  50.0          | G          | 5          
   5     |  1.40974940         |    Ar     |  50.0         |  50.0          | G          | 5          
   6     |  0.96604348         |    Ar     |  50.0         |  50.0          | G          | 5          
   6     |  0.97871860         |    Ar     |  50.0         |  50.0          | G          | 5          
   6     |  1.00547963         |    Ar     |  50.0         |  50.0          | G          | 5          
   6     |  1.03355558         |    Ar     |  50.0         |  50.0          | G          | 5          
   6     |  1.08839231         |    Ar     |  50.0         |  50.0          | G          | 5          
   6     |  1.09537273         |    Ar     |  50.0         |  50.0          | G          | 5          
   6     |  1.10819033         |    Ar     |  50.0         |  50.0          | G          | 5          
   6     |  1.11094924         |    Ar     |  15.0         |  50.0          | G          | 5          
   6     |  1.13968207         |    Ar     |  50.0         |  30.0          | G          | 5          
   6     |  1.14449647         |    Ar     |  30.0         |  20.0          | G          | 5          
   6     |  1.14706850         |    Ar     |  15.0         |  10.0          | G          | 5          
   6     |  1.14912540         |    Ar     |  15.0         |  50.0          | G          | 5          
   6     |  1.16719043         |    Ar     |  50.0         |  40.0          | G          | 5          
   6     |  1.20299409         |    Ar     |  50.0         |  50.0          | G          | 5          
   7     |  0.82667943         |    Ar     |  50.0         |  50.0          | G          | 5          
   7     |  0.84105208         |    Ar     |  50.0         |  10.0          | G          | 5          
   7     |  0.84269627         |    Ar     |  10.0         |  50.0          | G          | 5          
   7     |  0.85237835         |    Ar     |  50.0         |  50.0          | G          | 5          
   7     |  0.86703251         |    Ar     |  50.0         |  50.0          | G          | 5          
   7     |  0.91254712         |    Ar     |  50.0         |  50.0          | G          | 5          
